ID,Title,Content,Date,Permalink,Image URL,wpcf-award_name,wpcf-award-year,wpcf-awardee_fname,wpcf-awardee_lname,wpcf-awardee_institution,wpcf-awardee_description,wpcf-awardee_image,Slug,Status
14908,"Alewood, Paul",,2023-11-10 20:16:00,https://americanpeptidesociety.org/award/alewood-paul/,,goodman,2017,Paul,Alewood,The University of Queensland,"<p>Paul Alewood is a Group Leader and Professor of chemistry at the Institute for Molecular Bioscience, IMB, the University of Queensland. He obtained his Ph.D. in Organic Chemistry at the University of Calgary and undertook postdoctoral studies at the Universities of Geneva, London and Melbourne before taking up a lectureship at the Victorian College of Pharmacy in 1985. He was a foundation staff member at Bond University in Queensland, before moving to the University of Queensland in 1990 and helped form the IMB in 2000. In 2015, he was granted a Principal Research Fellowship by the National Health and Medical Research Council, Australia.</p>
<p>Dr. Alewood's research encompasses the broad fields of peptide, protein and medicinal chemistry with major interests in the development of novel chemistry to modulate structure and function of cysteine-rich bioactive peptides, the design and synthesis of new peptide drugs, peptidomimetics and proteomics. Current research targets involve the discovery of novel toxins from Australia's venomous creatures, the design of mediators of neuropathic pain and ion channel therapeutics.</p>
<p>Paul was a co-founder of the Melbourne-based peptide company, Auspep, and Xenome, a spin-off biopharmaceutical company from the IMB, UQ. Through commercial partners AMRAD and Xenome, AM336 and Xen2174 entered the clinic for the treatment of neuropathic pain. He co-founded the Australian Peptide Society in 1990 and is the current co-chair. He is the chairman and founder of the Venoms to Drugs Symposium. He is author of over 300 journal articles plus 14 patents and has trained more than 50 postgraduate students.</p>",https://americanpeptidesociety.org/wp-content/uploads/2019/08/alewood_paul.jpg,alewood-paul,publish
14909,"Barany, George",,2023-11-10 20:16:00,https://americanpeptidesociety.org/award/barany-george-2/,,goodman,2015,George,Barany,University of Minnesota at Minneapolis,"<p>George Barany, recipient of the 2015 Murray Goodman Scientific Excellence & Mentorship Award, has been a professor in the Department of Chemistry at the University of Minnesota since 1980 and is currently a Distinguished McKnight University Professor. He was born in Hungary in 1955 and immigrated with his family to the United States in 1960. He attended Stuyvesant High School in New York City, and continued directly to The Rockefeller University where he started his graduate studies in 1971 with Professor Bruce Merrifield. He published his first paper in 1973 on the synthesis of an ATP-binding peptide and earned his doctorate in 1977 for development of the dithiasuccinoyl, Dts, protecting group.</p>
<p>Dr. Barany is internationally recognized for his pioneering development of mild methods for solid-phase synthesis of peptides, the co-invention of DNA-on-a-chip technology, and the introduction of the concept of orthogonality into organic chemistry and chemical biology. His research interests encompass peptide synthesis, protecting groups for organic functionalities, the chemistry of thiols, disulfides, and polysulfanes, functionalization of soluble and insoluble polymers, methods for preparation of chemical combinatorial libraries, and the mechanisms of protein folding including the design and synthesis of constructs that autonomously fold in aqueous media.</p>
<p>Professor Barany's ground-breaking research is described in nearly 370 scientific publications, including a number of seminal review articles, and numerous patents which span the fields of peptide synthesis resin supports, PEG-PS, CLEAR, peptide synthesis reagents and protecting groups, PAL, HAL,XAL, BAL, Clear-OX, technologies for the synthesis of antisense ,phosphorothioate, DNA and RNA, and universal DNA arrays for detection of genetic diseases. His inventions have netted nearly $1.4 million in royalties and licensing fees to the University of Minnesota. Interestingly, Dr. Barany synthesized the active ingredient of garlic, and collaborated to show its chemopreventive properties.</p>
<p>While at Minnesota, Professor Barany has mentored approximately 60 graduate and post-doctoral students, and over 100 undergraduates. Many of his protégés have gone on to prominence as independent scientists in academia, industry, biotechnology, and government, and several of them have received prestigious awards of their own.</p>
<p>George Barany received the Vincent du Vigneaud Award for outstanding achievements in peptide research in 1994, and the Ralph F. Hirschmann Award in Peptide Chemistry from the American Chemical Society in 2006. He served a six-year term on the Council of the American Peptide Society, and in 1999 was co-chair of the Sixteenth American Peptide Symposium held in Minneapolis.</p>",https://americanpeptidesociety.org/wp-content/uploads/2019/08/barany_george.jpg,barany-george-2,publish
14910,"Hodges, Robert S.",,2023-11-10 20:16:00,https://americanpeptidesociety.org/award/hodges-robert-s/,,goodman,2013,Robert S.,Hodges,University of Colorado at Denver,"<p>Bob Hodges graduated with his Ph.D. in Biochemistry from the University of Alberta in 1971. He then joined the laboratory of Dr. Bruce Merrifield at Rockefeller University from 1971-1974 where he used solid-phase peptide synthesis to study the enzyme, Ribonuclease. He left the Merrifield lab to accept a position as Assistant Professor of Biochemistry at the University of Alberta, and became a founding member of the famous Medical Research Council Group in Protein Structure and Function where he remained for more than 25 years.</p>
<p>In 1990 Dr. Hodges joined two Networks of Centers of Excellence which involved outstanding researchers from across Canada to work together on research projects that bridged the gap between academia and industry. These Networks included the Canadian Bacterial Diseases Network, CBDN, and the Protein Engineering Network of Centers of Excellence, PENCE. In 1994 Dr. Hodges took over the leadership of PENCE from Michael Smith, Nobel laureate, and headed this network for six years. In 2000 he moved to the University of Colorado Denver, School of Medicine to accept the position as Director of the Program in Biomolecular Structure, Professor of Biochemistry and Molecular Genetics and holder of the John Stewart Endowed Chair in Peptide Chemistry.</p>
<p>In the U.S. he was successful at obtaining NIH R01 grants in diverse areas of science all applying peptide chemistry to solve questions about peptides and proteins of biological interest. Bob has won many outstanding awards in both Canada and the U.S. among which are the Distinguished Medical Research Council of Canada Scientist Award — the MRC career awards were considered the most prestigious of such awards in Canada, 1995-2000. In 1995, in recognition of a record of outstanding achievements in research in the field of biochemistry undertaken in Canada by a Canadian Scientist, he won the Boehringer-Mannheim Award from the Canadian Society of Biochemistry and Molecular Biology. The Alberta Science and Technology Award for outstanding leadership in Alberta Science in 1995. In 2002 he won the Vincent Du Vigneaud Award from the American Peptide Society for outstanding achievements in peptide research.</p>
<p>Bob has served the peptide science community in a variety of roles. He chaired the 1993 American Peptide Symposium in Edmonton, Alberta. Interestingly, this meeting had the largest number of attendees of any American Peptide Symposium to date. From 1995-1999 he served as President-elect and President of the American Peptide Society. He was Co-chair of the Gordon Research Conference on the Chemistry and Biology of Peptides in 2006. Inventor of the year award for 2009 at University of Colorado Denver.</p>
<p>Dr. Hodges has used peptide chemistry in an exceptionally creative and innovative manner to investigate major challenges in biomedical research. He has published over 500 publications in his career. He is presently focusing his research in the following areas:</p>
<p>  Development of a ""universal"" synthetic peptide influenza A vaccine which is based on the hypothesis that immunization with conformation-constrained peptides derived from highly conserved α-helical sequences in the stem region of influenza A hemagglutinin, HA, will generate antipeptide antibodies that recognize conformation-dependent epitopes in HA to prevent influenza infection.</p>
<p>  Understanding the relationship of sequence to protein folding, stability and function. His group made the first identification of a stability control region, SCR, in a protein. This SCR 97-118 in tropomyosin, a 284-residue regulatory protein involved in muscle contraction, transmits information along the two-stranded α-helical coiled-coil to control protein stability, <em>Journal of Structural Biology</em>, 2010.</p>
<p>  The rational design of α-helical antimicrobial peptides to target Gram-negative pathogens, <em>Acinetobacter baumannii</em> and Pseudomonas aeruginosa, <em>Chem. Biol. and Drug Design</em>, 2011 and Gram-positive pathogens, Methicillin-resistant <em>Staphylococcus aureus</em> to solve the rapidly growing problem of increased resistance to traditional antibiotics, a major issue in human health.</p>
<p>  Development of new HPLC methodology. The Hodges group's design of peptide standards of the same composition and minimal sequence variation to monitor performance and selectivity of reversed-phase matrices represents a breakthrough in assessing new column packing materials, <em>J. Chrom. A, 2012</em>. THe group introduced a new dimension to traditional hydrophilic interaction chromatography, HILIC, of peptides, termed HILIC/SALT. This approach promises to enable HILIC packings to enter the mainstream of approaches for peptide separations.</p>
<p>  Developing anticancer peptidomimetics, 500-700 daltons, with nanomolar broad spectrum activity against 9 cancer types — non-small cell lung, prostate, breast, colon, ovarian, renal cancer, melanoma, leukemia and CNS).</p>",https://americanpeptidesociety.org/wp-content/uploads/2019/09/hodges_robert_awardee.jpg,hodges-robert-s,publish
14911,"Hruby, Victor J.",,2023-11-10 20:16:00,https://americanpeptidesociety.org/award/hruby-victor-j-2/,,goodman,2011,Victor J.,Hruby,University of Arizona,"<p>Professor Victor J. Hruby is Regents Professor in the Department of Chemistry and Biochemistry at the University of Arizona. Dr. Hruby was born in Valley City, North Dakota and received his B.S. and M.S., with A. William Johnson, at the University of North Dakota. He then went to Cornell University where he received his Ph.D. with A. T. Blomquist, and then was an Instructor at Cornell University Medical College with Vincent duVigneaud, Nobel Laureate. He moved to the University of Arizona in 1968 as an Assistant Professor.</p>
<p>Professor Hruby’s research has been primarily in the chemistry, conformation-biological activity relationships, and molecular mechanisms of information transduction and of molecular diseases associated with peptide hormones and neurotransmitters and their receptors that modulate health, disease and human behavior. Specific hormones and neurotransmitters of interest include the opioids, the melanotropins, CCK, glucagon, substance P, oxytocin and related compounds and receptors. Specific methods and approaches used in this research include: de novo design of biologically active peptides and peptidomimetics; asymmetric synthesis; design and asymmetric synthesis of novel amino acids; computational chemistry; conformational analysis using NMR, X-ray crystallography and other biophysical tools; combinatorial chemistry; conformation-biological activity relationships, especially as they relate to the design of conformationally and topographically constrained peptide, peptidomimetic and peptide mimetic hormone and neurotransmitter agonists and antagonists for exploring the chemical-physical basis for information transduction in biological systems; the design, synthesis and biological evaluation of peptide and peptide mimetic ligands that affect pain, addictions, feeding behaviors, pigmentation, sexual behavior and motivation, glucose homeostasis, cancer and other biological effects; the chemical-physical basis for behavior; the mechanisms of hormone and neurotransmitter action; peptide mimetic design; and the structure-function of G-protein coupled receptors.</p>
<p>The Hruby group also is developing new synthetic methodologies for the assembly of multimeric ligands for the detection and treatment of pain, cancer and other diseases; a new approach to design of ligands for disease states involving the concept of overlapping pharmacophores to address several receptors simultaneously in a single small molecular ligand for the treatment of neuropathic pain without tolerance or addiction and which cross the blood-brain-barrier; and a new biophysical method, plasmon waveguide resonance spectroscopy, which allows one for the first time to examine the structures, thermodynamics and kinetics of GPCRs and other integral membrane proteins on interactions with ligands, modulatory proteins, enzymes, parallel and perpendicular to the membrane bilayer independently. Professor Hruby has published over 1000 articles, reviews, chapters, commentaries and editorials and has over 25 patents and patent filings.</p>
<p>Victor Hruby has received numerous awards and honors, including a Guggenheim Fellowship (1984), the Alan E. Pierce Award, now the Merrifield Award, 1993, a Senior Humboldt Fellowship, 1999-2000, and the American Chemical Society Arthur C. Cope Scholar Award, 2009. He was awarded a Doctor of Science, Honous Causa from the Free University of Brussels, 1989, and was named Regents Professor at the University of Arizona, 1989. Additional awards include the American Chemical Society Ralph F. Hirschmann Award, 2002, The Jacob Javits Neuroscience Award, 1987, the NIH MERIT Award, 1988, Sommer Award, 2003, and Arizona Innovator of the Year, 2009.</p>",https://americanpeptidesociety.org/wp-content/uploads/2019/09/hruby_victor_awardee.jpg,hruby-victor-j-2,publish
14912,"Deber, Charles M.",,2023-11-10 20:16:00,https://americanpeptidesociety.org/award/deber-charles-m-2/,,goodman,2009,Charles M.,Deber,"University of Toronto, Hospital for Sick Children","<p>The announcement that Dr. Charles M. Deber, Professor of Biochemistry at the University of Toronto and Acting Head of the Division of Molecular Structure and Function at the Research Institute Hospital for Sick Children at the University of Toronto, was the first recipient of the Goodman Award of the American Peptide Society was a well deserved recognition of Charlie’s many scientific contributions to peptide and protein science and to the American Peptide Society.</p>
<p>Professor Deber is known worldwide for his seminal research on the structure and function of membrane peptides and proteins, and in the examination of disease states that involve misfolding of membrane proteins. At the more fundamental level he was among the first to recognize that peptide and protein folding in membranes had fundamental differences from peptide and protein folding in aqueous environments. This led to a critical re-evaluation of the structural properties in amino acids in proteins that are in membrane environments, which has provided new tools for the design of membrane peptides and proteins. Among these tools, the web based TM Finder Program is a most valuable tool, available worldwide.</p>
<p>As a mentor and teacher, Dr. Deber’s contributions also have been exemplary. He teaches widely acclaimed courses from large undergraduate courses, to advanced Chemistry courses for graduate students. For his excellent undergraduate teaching he received the W.T. Aikins Award from the University of Toronto. He has mentored more than 60 graduate students and postdoctoral fellows, many of who have gone on to have outstanding careers in academia and industry.</p>
<p>Finally, Charlie has made many outstanding contributions in service to our field worldwide. In addition to being President of the APS from 1991-1993, he has been a long time Editor of Peptide Science, on the editorial board of several international journals in our field, and has organized or helped organize several international conferences.</p>
<p>The Murray Goodman Scientific Excellence and Mentorship Award is well-deserved recognition for the above and many other contributions.</p>",https://americanpeptidesociety.org/wp-content/uploads/2019/09/deber_charles_awardee.jpg,deber-charles-m-2,publish
14913,"Li, Xuechen",,2023-11-10 20:16:00,https://americanpeptidesociety.org/award/li-xuechen/,,makineni,2019,Xuechen,Li,The University of Hong Kong,"<p>Professor Xuechen Li received his BSc degree from Nankai University, China, his MSc from the University of Alberta, Canada, and, in 2007, his PhD from Harvard University, USA. After postdoctoral work in the laboratory of Prof. Samuel Danishefsky at the Memorial Sloan Kettering Cancer Center in New York, he joined the Department of Chemistry at the University of Hong Kong as an Assistant Professor in 2009, and was promoted to Associate Professor in 2014 and Professor in 2018.  He was granted the Croucher Senior Research Fellowship in 2018.</p>
<p>The central theme of Dr. Li’s research focuses on the chemical biology of biomolecules (i.e., peptides/proteins and glycoproteins) with the aim of studying fundamental biological questions and developing potential therapeutic applications. His laboratory has developed various methods for protein chemical synthesis, peptide cyclization and protein modifications, including Ser/Thr ligation, P-B peptide desulfurization and phthalimidine protein bioconjugation.  Furthermore, he has been working on the synthesis and medicinal chemistry studies of complex antibacterial cyclic peptides, with completion of the total synthesis of daptomycin and teixobactin.</p>",https://americanpeptidesociety.org/wp-content/uploads/2019/08/Li_Xuechen.jpg,li-xuechen,publish
14914,"Kodadek, Thomas",,2023-11-10 20:16:00,https://americanpeptidesociety.org/award/kodadek-thomas/,,makineni,2017,Thomas,Kodadek,Scripps Research Institute,"<p>Professor Thomas Kodadek received his B.S. in Chemistry at the University of Miami in 1981 and his Ph.D. in Organic Chemistry from Stanford University in 1985. He then pursued post-doctoral studies in the laboratory of Prof. Bruce Alberts at the University of California, San Francisco Medical School from 1985-1987. In the fall of 1987 he joined the faculty of Chemistry & Biochemistry at the University of Texas at Austin, rising to the rank of full professor. In 1998, he moved to the University of Texas Southwestern Medical Center in Dallas where he served as Professor of Internal Medicine and Molecular Biology as well as the Director of the Division of Translational Research. In June, 2009, Prof. Kodadek moved to the Scripps Research Institute campus in Jupiter, FL where he is currently Chairman of Cancer Biology and Professor of Chemistry.</p>
<p>Professor Kodadek works in the field of chemical biology, which involves the development of chemical tools to monitor and manipulate important processes in biology and medicine. His laboratory has also made important contributions to our understanding of how genes are rearranged and expressed. Recently, Prof. Kodadek has focused on the development of novel diagnostic and therapeutic tools for the treatment of immune diseases and cancers. This work was recognized in 2006 by a prestigious NIH Director's Pioneer Award for ""exceptionally creative research"". Opko, a Miami biotechnology company, has established a laboratory in Jupiter for the discovery of novel diagnostic markers for cancer, autoimmune and neurological diseases using the methods developed in the Kodadek laboratory.</p>",https://americanpeptidesociety.org/wp-content/uploads/2019/08/kodadek_thomas.jpg,kodadek-thomas,publish
14915,"Arora, Paramjit",,2023-11-10 20:16:00,https://americanpeptidesociety.org/award/arora-paramjit/,,makineni,2015,Paramjit,Arora,New York University,"<p>Paramjit Arora is a Professor of Chemistry at New York University. He obtained his B.S. in Chemistry from UC Berkeley and received his Ph.D. degree in Chemistry from UC Irvine. He then pursued an American Cancer Society postdoctoral fellowship at the California Institute of Technology before joining the faculty of New York University in 2002. His research efforts are aimed at evaluating synthetic strategies for modulating protein-protein interactions. Proteins often utilize small folded domains for recognition of other biomolecules.</p>
<p>The basic hypothesis guiding research efforts in the Arora Group is that mimicry of these folded peptide domains with metabolically stable synthetic molecules would lead to modulators of the desired interaction. The group has made significant progress in developing strategies that provide conformationally defined peptide and peptidomimetic foldamers. These efforts have led to the Hydrogen-Bond Surrogate ïÂ¡-helices and the Oxopiperazine Helix Mimetics. Both compound classes have been shown to interfere with chosen protein-protein interactions in cell-free, cell culture and animal models. The group has also described computational strategies to approach the critical question of how to identify the subset of protein-protein interactions that are amenable to disruption by synthetic ligands.</p>",https://americanpeptidesociety.org/wp-content/uploads/2019/08/arora_paramjit.jpg,arora-paramjit,publish
14916,"Gellman, Samuel H.",,2023-11-10 20:16:00,https://americanpeptidesociety.org/award/gellman-samuel-h-2/,,makineni,2013,Samuel H.,Gellman,University of Wisconsin at Madison,"<p>Sam Gellman is the Ralph F. Hirschmann Professor of Chemistry at the University of Wisconsin at Madison. He earned his A.B. from Harvard University in 1981 and his Ph.D. from Columbia University, under Ronald Breslow, in 1986. After an NIH post-doctoral fellowship at the California Institute of Technology, with Peter Dervan, Gellman joined the faculty at the University of Wisconsin at Madison in 1987.</p>
<p>The work from Gellman's laboratory has been recognized by the Ralph F. Hirschmann Award in Peptide Chemistry from the American Chemical Society in 2007, the Vincent du Vigneaud Award from the American Peptide Society in 2006 and the Arthur C. Cope Scholar Award from the American Chemical Society in 1997.</p>
<p>Gellman was elected to the American Academy of Arts & Sciences in 2010. He has served on the National Institutes of Health Medicinal Chemistry Study Section, 1999-2002, and several editorial advisory boards, such as the <em>Journal of Organic Chemistry</em>, the <em>European Journal of Organic Chemistry</em>, <em>Biopolymers-Peptide Science</em>, <em>Chemical Society Reviews</em> and <em>Organic & Biomolecular Chemistry</em>. Major interests in Gellman's research program have included fundamental studies of non-covalent interactions, elucidation of the origins of peptide and protein folding preferences, development and application of unnatural oligomers that display protein-like conformational behavior, ""foldamers,"" creation of new amphiphiles for membrane protein manipulation, and development of new biologically active polymers.</p>",https://americanpeptidesociety.org/wp-content/uploads/2019/08/gellman_samuel.jpg,gellman-samuel-h-2,publish
14917,"Kelly, Jeffery W.",,2023-11-10 20:16:00,https://americanpeptidesociety.org/award/kelly-jeffery-w/,,makineni,2011,Jeffery W.,Kelly,Scripps Research,"<p>Jeffery W. Kelly received his Ph.D. in organic chemistry from the University of North Carolina at Chapel Hill in 1986, and performed post-doctoral research at The Rockefeller University in the area of chemistry and biology. After rising through the ranks in the chemistry department at Texas A&M University he joined the Department of Chemistry at The Scripps Research Institute in 1997 as the Lita Annenberg Hazen Professor of Chemistry.</p>
<p>Jeffery served as Dean of Graduate Studies and Vice President of Academic Affairs from 2000-2006 and is currently Chair of Molecular and Experimental Medicine at The Scripps Research Institute. His research focuses on the physical basis of protein folding, misfolding and aggregation and the influence of small molecules on these processes in vivo. Dr. Kelly and his research group have studied the synergy between the hydrophobic effect and backbone-backbone hydrogen bonding in β-sheet folding employing side-chain as well as amide-to-ester and amide-to-olefin backbone mutations.</p>
<p>His laboratory is currently exploring the effects of glycosylation on the energetics of protein folding. The group also studies the etiology of neurodegenerative diseases, including Alzheimer's disease, Parkinson's disease, and the familial gelsolin and transthyretin-based amyloidoses–publishing over 200 papers in this area to date. Two small molecules discovered by the Kelly laboratory are now being tested in placebo-controlled human clinical trials for the amelioration of peripheral neuropathy caused by amyloidosis. These small molecules selectively bind to the native state of transthyretin and serve as native state kinetic stabilizers–allowing scrutiny of the hypothesis that prevention of amyloidogenesis will ameliorate a neurodegenerative disease. One of these molecules has successfully completed a Phase II/III trial and is expected to receive FDA approval in 2011.</p>
<p>The Kelly Laboratory has also made considerable progress in discerning the biochemical basis of Gaucher’s disease, a loss of function misfolding disease. This mechanistic insight has been used to develop small molecule pharmacologic chaperones that could be useful in ameliorating this lysosomal storage disease. Another current focus of the Kelly group is to restore the protein homeostasis capacity that protects us from numerous diseases similar to those mentioned above when we are young utilizing ""proteostasis regulators"", small molecules that adapt stress responsive signaling pathways to restore normal cellular balance. They have demonstrated the efficacy of this approach in both gain- and loss-of-function diseases.</p>
<p>The Kelly group has also discovered functional amyloid structures in humans, revealing the fine line between pathology and physiology. Kelly has won numerous awards including the American Chemical Society Arthur C. Cope Scholar Award, The Peptide Society Vincent du Vigneaud Award and the Emil Thomas Kaiser Award, the State University of New York at Fredonia Alumni Distinguished Achievement Award, the Protein Society-Dupont Young Investigator Award, The Biophysical Society National Lecturer Award, the Texas A&M University Honors Program Teacher / Scholar Award, the Camille Dreyfus Teacher-Scholar Award, and the Searle Scholar Award, to name only a few.</p>",https://americanpeptidesociety.org/wp-content/uploads/2019/08/kelly_jeffery.jpg,kelly-jeffery-w,publish
14918,"DeGrado, William",,2023-11-10 20:16:00,https://americanpeptidesociety.org/award/degrado-william/,,makineni,2009,William,DeGrado,University of Pennsylvania,"<p>The 2009 Makineni Lectureship is meant to recognize a recent scholarly contribution of broad significance, and Bill DeGrado's 2008 <em>Nature</em> paper entitled ""Structural Basis for the Function and Inhibition of an Influenza Virus Proton Channel,"" is a stellar example of high-impact peptide science. The M2 protein from influenza virus self-assembles in a host cell membrane to form a tetramer, which enables protons to cross the membrane. DeGrado's lab, and many others, have studied this protein for some time. The 2008 Nature paper reports the crystal structures of two 25-mer peptides that correspond to the membrane-spanning alpha-helical segment of the M2 protein. In both cases the peptides form a four-helix bundle that represents the proton channel region of the native M2 tetramer.</p>
<p>This work is highly significant because of insights regarding M2 channel assembly, function and inhibition — in one of the two crystal structures an antiviral agent blocks the center of the channel. Perhaps even more important, however, is the fact that this work represents the first example in which the transmembrane segment of an integral membrane protein has been structurally characterized at atomic resolution via crystallography. This monumental achievement is likely to inspire related studies in many groups, which will ultimately bring our understanding of membrane protein structure and function to new levels of sophistication.</p>
<p>The first crystal structure of a membrane protein led to the award of the 1987 Nobel Prize, because this accomplishment was viewed as leading the way to many more structures of membrane proteins. Water-soluble peptides of medium length, 10-40 residues, are typically much more difficult to crystallize than are full-length soluble proteins. This trend is likely to apply as well to medium-length membrane-embedded peptides, relative to membrane proteins. Thus, DeGrado's goal of growing high-quality crystals of M2 transmembrane peptides was extremely courageous — one might have said ""foolhardy"" at the time he began. This goal would probably not even have been imagined by most workers in the field because success seemed so unlikely.</p>
<p>The importance of acquiring high-resolution structural data for self-associating transmembrane segments of embedded proteins cannot be overstated. Interactions among such segments play crucial roles in determining the identity, geometry and stoichiometry of membrane protein assemblies. These assemblies play vital roles in normal and pathological cellular physiology and in the behavior of infectious agents. Many integral membranes involved in signal transduction, for example, contain single-pass helical segments that link an extracellular receptor domain to an intracellular effector domain, such as a tyrosine kinase domain. There is good evidence that such helical segments have intrinsic propensities for homo- and/or heteroassociation, and these association phenomena play a crucial role in normal signaling as well in aberrant signaling that can lead to development of disease. Our understanding of physiologically important interactions among intrinsic membrane proteins has been hampered by our lack of high-resolution structural information for the associated states. DeGrado’s stunning success with M2-derived integral membrane peptides suggests that this deficiency of structural data will soon be remedied.</p>",https://americanpeptidesociety.org/wp-content/uploads/2019/08/degrado_william.jpg,degrado-william,publish
14919,"Raines, Ronald T.",,2023-11-10 20:16:00,https://americanpeptidesociety.org/award/raines-ronald-t/,,makineni,2007,Ronald T.,Raines,University of Wisconsin at Madison,"<p>Ronald Raines is the Henry Lardy Professor of Biochemistry and a Professor of Chemistry at the University of Wisconsin–Madison.</p>
<p>Ron received Sc.B. degrees in chemistry and biology at MIT, and A.M. and Ph.D. degrees in organic chemistry at Harvard University. He was a Helen Hay Whitney postdoctoral fellow in the Department of Biochemistry and Biophysics at the University of California, San Francisco. He joined the faculty at the University of Wisconsin-Madison in 1989.</p>
<p>Ron has contributed broadly to our understanding of the chemistry and biology of peptides and proteins. He discovered fundamental attributes of the collagen triple helix, enabling him to assemble triple helices that are stronger and longer than any found in nature. Ron demonstrated that mammalian ribonucleases can become potent cytotoxins and potential cancer chemotherapeutics. He developed the traceless Staudinger ligation as a means to couple synthetic peptides and thus synthesize proteins.</p>
<p>Ron has trained more than 70 doctoral and postdoctoral students. He is an author of more than 200 research papers, and an inventor on more than 10 US patents.</p>
<p><strong>Citation for Makineni Lecture:</strong><br /> ""Self-Assembly of Synthetic Collagen Triple Helices"" Kotch, F. W.; Raines, R. T. <em>Proc. Natl. Acad. Sci. U.S.A</em>. <strong>2006</strong>, 103, 3028–3033.</p>",https://americanpeptidesociety.org/wp-content/uploads/2019/08/raines_ronald_makineni.jpg,raines-ronald-t,publish
14920,"Offord, Robin E.",,2023-11-10 20:16:00,https://americanpeptidesociety.org/award/offord-robin-e/,,makineni,2005,Robin E.,Offord,"Centre Medical Universitaire, Switzerland",,,offord-robin-e,publish
14921,"Tam, James P.",,2023-11-10 20:16:00,https://americanpeptidesociety.org/award/tam-james-p-3/,,makineni,2003,James P.,Tam,Vanderbilt University,,,tam-james-p-3,publish
14922,"Raj, Monika",,2023-11-10 20:16:00,https://americanpeptidesociety.org/award/raj-monika/,,aps,2019,Monika,Raj,Auburn University,"<p>Dr. Monika Raj is an Assistant Professor in the Department of Chemistry and Biochemistry at Auburn University. She obtained her Ph.D. in Organic Chemistry at the Indian Institute of Technology, Kanpur. She then pursued post-doctoral studies at the University of Pennsylvania and New York University. In the fall of 2014, she joined the faculty of Chemistry & Biochemistry at Seton Hall University at New Jersey before moving to the Auburn University in August 2017.</p>
<p>Dr. Raj works in the field of chemical biology, which involves the development of organic chemistry tools for solving the problems in the field of biology and medicine. This includes the development of new chemical reactions including catalysts for the synthesis of chemical sensors, proteins, peptides and bioconjugates. Her laboratory has also made important contributions for the development of methods for the activation of amide bonds for late-stage diversification of peptides and proteins. Recently, Dr. Raj has focused on the development of a novel bioconjugation technique for the detection of monomethyl lysine containing posttranslational modifications (PTMs) to understand the role of these PTMs in various cellular processes and diseased states. This work was recognized in 2018 by NSF CAREER award.</p>",https://americanpeptidesociety.org/wp-content/uploads/2019/08/Monika-Raj-photo.png,raj-monika,publish
14923,"Raskatov, Jevgenij",,2023-11-10 20:16:00,https://americanpeptidesociety.org/award/raskatov-jevgenij/,,aps,2019,Jevgenij,Raskatov,University of California at Santa Cruz,"<p>Jevgenij Raskatov was born in Moscow (where he grew up as a cellist) and following the family move to Germany in 1994, studied Chemistry at the University of Heidelberg. He then moved to Oxford to pursue his graduate studies in organic chemistry with focus on asymmetric catalysis and chiral ion pairing. This was followed by a research stay at Caltech with Peter Dervan as a Humboldt Postdoctoral Fellow.<p>
<p>Dr. Raskatov has started his independent research career at UC Santa Cruz in 2014. At UCSC, Dr. Raskatov decided to focus his attention on the aggregation-prone peptide and the believed culprit of Alzheimer’s Disease, Amyloid β. He used his strong background in physical organic chemistry and molecular stereochemistry, combined with his insight into bioactive peptides that he gained at Caltech, to create a paradigm-challenging molecular approach to convert toxic Aβ oligomers to non-toxic fibrils, using molecular symmetry logic.</p>
<p>For this pioneering work, together with his other studies that use amino acid chirality to probe Aβ structure-function relationships he was awarded the 2018 New Investigator Award of the Boulder Peptide Society. His research program employs an unusually wide set of experimental techniques, ranging from molecular modeling and NMR to neuron biology and electrophysiology.</p>",https://americanpeptidesociety.org/wp-content/uploads/2019/08/Raskatov_Jevgenij_UCSC_Photo.jpg,raskatov-jevgenij,publish
14924,"Gierasch, Lila M.",,2023-11-10 20:16:00,https://americanpeptidesociety.org/award/gierasch-lila-m/,,hirschmann,2018,Lila M.,Gierasch,University of Massachusetts at Amherst,,,gierasch-lila-m,publish
14925,"Raines, Ronald T.",,2023-11-10 20:16:01,https://americanpeptidesociety.org/award/raines-ronald-t-2/,,hirschmann,2016,Ronald T.,Raines,University of Wisconsin at Madison,,,raines-ronald-t-2,publish
14926,"Danishefsky, Samuel",,2023-11-10 20:16:01,https://americanpeptidesociety.org/award/danishefsky-samuel/,,hirschmann,2014,Samuel,Danishefsky,Columbia University,,,danishefsky-samuel,publish
14927,"Boger, Dale L.",,2023-11-10 20:16:01,https://americanpeptidesociety.org/award/boger-dale-l/,,hirschmann,2013,Dale L.,Boger,Scripps Research,,,boger-dale-l,publish
14928,"Kelly, Jeffery W.",,2023-11-10 20:16:01,https://americanpeptidesociety.org/award/kelly-jeffery-w-2/,,hirschmann,2012,Jeffery W.,Kelly,Scripps Research,,,kelly-jeffery-w-2,publish
